Inventaire?,N° réf,Jeux,Classification ludothèque COL,COL adapté 1,COL adapté 2,Etat,Âge,Duree,Nbre de joueurs,Thème,Prix neuf,Jeton(s),A vendre?,Poids,Nbre de cartes,Dimension cartes,don provenance?,Date d'entrée,trictrac,titre officiel,annee de sortie,illustrateur,image_editeur,auteur,,editeur,description,caractéristique,mécanisme,Commentaires,Année de rentrée,Enfants / Adultes,Manque,Inventaire,dernier inventaire,liens vers video régles
,302,Dr Eureka,R,ADR,ADR,Bon,6,30,2 - 4,Science,22,2,,,,,,04-04-2017,,,,Stephane Escapa,,Roberto Fraga,,Blue Orange,,,,,2016-2017,Adultes,,,,
ok,303,Hanabi,R,COO,EXP,Bon,8,30,2 - 5,Asie,10,1,,,,,,04-04-2017,,,,,,Antoine Bauza,,Cocktail Game,,,,,2016-2017,Adultes,,50 cartes; 8 jetons bleu; 3 jetons rouge;5cartes multicolores;régle,06/08/2019,
ok,304,7 Wonders - Leaders,R,REF,REF,Bon,10,45,2 - 7,Antiquité,20,2,,,,,,04-04-2017,,,,,,,,Superlude,,,,,2016-2017,Adultes,,"1 plateau ; 1 cartes merveille; 36 cartes leaders; 4 cartes guildes,17 pieces de monnaie; 1 marqueur courtisane; 1 carnet de score; 1 livre de régle, 1 carnet leaders vierge",09/08/2019,
ok,305,Poupon dormeur,S,ROL,ROL,Usé,2,0,1,Famille,30,2,,,,,Don Interlude,05-05-2017,,,,,,,,,,,,,2016-2017,Enfants,,1 ponpon,12/08/2019,
ok,306,Poupon couleurs,S,ROL,ROL,Usé,2,0,1,Famille,30,2,,,,,Don Interlude,05-05-2017,,,,,,,,,,,,1 pochette en plastic moyenne et 2 petites,2016-2017,Enfants,,1 poupon,12/08/2019,
ok,307,Puzzle Elmer,A,AGE,AGE,Usé,2,0,1,Animaux,20,2,,,,,,05-05-2017,,,,,,,,,,,,,2016-2017,Enfants,,,,
ok,308,Valise Docteur,S,ROL,ROL,Usé,2,0,1,Maladie,20,2,,,,,Don Ambarprix,05-05-2017,,,,,,,,,,,,,2016-2017,Enfants,,10 accesoires,12/08/2019,
ok,309,10 Cosmonautes,S,MIS,MIS,Bon,2,0,3,Science Fiction,10,1,,,,,,05-05-2017,,,,,,,,,,,,,2016-2017,Enfants,1 tête et un chapeau,"10 corps, 10 têtes, 10 chapeaux",12/08/2019,
ok,310,Bermudes,R,COM,COM,Bon,10,15,3 - 6,Mer,10,1,,,,,,06-10-2017,,,,Sandra et Olivier Freudenreich,,Carlo Emanuelle Lanzavecchia,,Gigamic,,,,,2017-2018,Adultes,,92 cartes,06/08/2019,
ok,311,Galèrapagos,R,EQU,ASS,Bon,10,20,3 - 12,Mer,20,2,,,,,,06-10-2017,,,,Aucomte,,Laurence et Philippe Gamelin,,Gigamic,,,,,2017-2018,Adultes,1 pions eau,"6 boules en bois; 12 cartes radeau; 1 socle bateau; 54 cartes épave;  12 cartes poisson/mort;12 cartes météo; 1 cartes 1er joueurs, 1 plateau; 1 pions eau; 1 pions nourriture;1 pions joueurs; 1 sac",01/08/2019,
ok,312,Légende du Wendigo (La),R,ASS,ASS,Bon,6,10,2 - 6,Monstres,15,1,,,,,,06-10-2017,,,,,,Hargrave,,Matagot,,,,,2017-2018,Enfants,le sablier,1 règle du jeu ; 32 tuiles scout ; 32 tuiles wendigo ; 1 sablier,26/08/2019,
ok,313,Splendor exention : Les cités,R,COM,COM,Bon,10,30,2 - 4,Commerce,25,2,,,,,,06-10-2017,,,,Quidault,,Marc André,,Space Cowboys,,,,,2017-2018,Adultes,,12 bastions; 1 plateau orient; 20 blasson; 30 cartes développement; 7 tuiled R/V,01/08/2019,
